Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
Data Scientist (Специалист по языковым моделям),https://hh.ru/vacancy/119346670,СберМобайл,не указана,От 3 до 6 лет,Нет,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
Старший Go разработчик в команду инфраструктуры YTsaurus,https://hh.ru/vacancy/117420877,Яндекс,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior ML Engineer [Голосовая экосистема],https://hh.ru/vacancy/117803174,МТС,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Руководитель отдела рисков Senior Data scientist,https://hh.ru/vacancy/118344285,МКК Займ-Экспресс,не указана,От 3 до 6 лет,Нет,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MLOps инженер,https://hh.ru/vacancy/118117788,Группа компаний Астра,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Data Scientist (GenAI),https://hh.ru/vacancy/118309827,Компания БКС,не указана,От 3 до 6 лет,Да,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
Продуктовый аналитик в команду Эффективности кэшбека,https://hh.ru/vacancy/118033924,Т-Банк,не указана,Более 6 лет,Нет,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Senior Data Scientist (RL),https://hh.ru/vacancy/119038333,Ecom.tech,не указана,От 3 до 6 лет,Да,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
Lead Data engineer,https://hh.ru/vacancy/104847296,Объединенная металлургическая компания,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist [Платформа жизненных сценариев],https://hh.ru/vacancy/119043068,МТС,не указана,Более 6 лет,Нет,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
"Старший Data Scientist, Ранжирование",https://hh.ru/vacancy/98275778,Ozon,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Руководитель Центра знаний (Team Lead Data Scientist),https://hh.ru/vacancy/118618735,Компания БКС,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior MLOps Engineer (Recommendation Systems),https://hh.ru/vacancy/119754841,WILDBERRIES,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lead Data Scientist,https://hh.ru/vacancy/117912295,Эр-1,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0
